1, Ashik L Kumar, HSR LAyout,9986507705,1,2,2012-02-05,2012-02-07,2012-01-26
2,Mamtha A Ashkoh,Kormangala,9987706905,1,0,2012-02-05,2012-02-06,2012-01-28
3,Shashi K Pai,Indranagar,9986577905,1,1,2012-02-06,2012-02-08,2012-02-01
4,Sanjana H Menon,JP Nagar,9977506905,1,0,2012-02-26,2012-02-29,2012-02-20
5,Varun H V,Jayanagar,9986666905,2,0,2012-04-01,2012-04-04,2012-03-24
6,Joshua G Balata,Banashankri,9966506905,1,0,2012-05-25,2012-05-27,2012-05-10
7,Karthik M Gowda, HSR LAyout,9986506605,1,0,2012-07-07,2012-07-10,2012-06-15
8,Krithi S Pai,Kormangala,9988806905,1,0,2012-07-29,2012-08-03,2012-07-10
9,Sanju L Maria,Indranagar,9986508805,1,0,2012-10-10,2012-10-15,2012-09-20
10,Vishruti A Reddy,JP Nagar,9999506905,2,0,2012-11-06,2012-11-07,2012-10-28
11,Ayusha A Gowda,Jayanagar,9986996905,1,0,2012-12-30,2013-01-03,1905-07-04
12,Kanchan R Khan,Banashankri,9986509905,1,1,2013-02-10,2013-02-17,2013-02-01
13,Saloni M Joshi, HSR LAyout,9996506905,1,0,2013-03-12,2013-03-16,2013-03-03
14,Yash K Vikay,Kormangala,9989906905,1,0,2013-03-12,2013-03-16,2013-03-03
15,Karthik D Hari,Indranagar,9986501105,1,0,2013-03-12,2013-03-15,2013-02-24
16,Prajwal S Gowda,JP Nagar,9116506905,1,0,2013-06-01,2013-06-03,2013-05-20
17,Ravi K Kiran,Jayanagar,9981106905,1,0,2013-08-14,2013-08-17,2013-08-01
18,Kathyani M Vijay,Banashankri,9986511905,1,0,2013-08-14,2013-08-18,2013-08-02
19,Shivani L Vijay, HSR LAyout,9986522905,1,0,2013-08-14,2013-08-15,2013-08-02
20,Raskshith J Gowda ,Kormangala,9982206905,1,1,2013-11-23,2013-11-25,2013-12-10
21,Sam D Abraham,Indranagar,9986226905,1,0,2013-12-30,2013-12-31,2013-12-14
22,Harry J Potter,JP Nagar,9986505505,1,0,2013-12-30,2013-12-31,2013-12-08
23,Rubert H Grint,Jayanagar,9982206905,2,0,2013-12-30,2013-12-31,2013-12-20
24,Sita M Reddy,Banashankri,9983306905,1,0,2013-12-30,2013-12-31,2013-12-15
25,Geetha U Reddy, HSR LAyout,9981106905,1,0,2013-12-30,2013-12-31,2013-12-10
26,Shaila B Gowda,Kormangala,9986556905,1,0,2013-12-30,2013-12-31,2013-12-12
27,Ikram N Khan,Indranagar,9556506905,1,1,2013-12-31,2014-01-01,2013-12-12
28,Akbar C Khan,JP Nagar,9446506905,1,0,2013-12-31,2014-01-03,2013-12-12
29,Apoorva M Jarmalae,Jayanagar,9986503905,1,0,2014-01-01,2014-01-03,2013-12-20
30,Apoorva S Iyengar,Banashankri,9986566905,3,0,2014-01-15,2014-01-20,2014-01-02
